COD_CHAV_CORO_CLIE,NUM_AGEN,NUM_CONT,DES_CATE_CONT,IND_REGU,DAT_ABER_CONT,VLR_SALD_DISP,VLR_LIMI_CRED,IND_CONT,NOM_MOED_CONT,DAT_RFRC
7b4dceb95958e1d87c5b262933c03ac9a29c1298,1234,98765432,PREMIUM,1,20230115,5000,10000,ATIVA,REAL,20231119
b3140cab3fb980329130279c8e994bc524ff4ddc,5678,12345678,BASIC,0,20221020,1000,5000,REGULAR,DOLAR,20231119
f6b676ed24d482d1a251f6f547e5ffef37554a14,9101,24681357,INTERMEDIARIA,1,20230705,3000,8000,ATIVA,REAL,20231119
cc1c96d23d0a1f4887aed32d608434cd6d8c9789,2468,13579246,BASIC,0,20211231,1500,3000,INATIVA,PESO,20231119
a57de7f5821154f621b2d79ddb7431b693150d43,1357,98765412,PREMIUM,1,20220618,8000,12000,CONGELADA,REAL,20231119
ba4127e191cf8f6df25541ac1bf4314e816bd34e,7890,45678901,INTERMEDIARIA,1,20240101,7000,15000,ATIVA,REAL,20231119
f504865e7e1ed5287c0264ea5284e96d2d93ba89,2468,12348765,BASIC,1,20230630,2000,4000,REGULAR,REAL,20231119
62529704a7fb887ad2b1442a6ad8f2c891207f19,9876,78901234,PREMIUM,1,20211215,6000,9000,ATIVA,REAL,20231119
3ff378c034c365786dc96a731fa3a737e7b1ef91,5432,54321678,BASIC,1,20230820,2500,6000,INATIVA,REAL,20231119
aaae803f3309c441d51b5df463186f3adddecfcc,2109,13579268,INTERMEDIARIA,1,20220130,4000,8000,CONGELADA,DOLAR,20231119
392df2eb36a19e5c1d1a322e4bb3be22a86a39bb,7890,98769876,PREMIUM,1,20231010,9000,15000,ATIVA,REAL,20231119
7b9e29fbb146df2e4a5edcd4e9efa72afdd65513,5432,67890123,BASIC,0,20230601,3000,7000,REGULAR,PESO,20231119
ffd396b9e3656c19a3ff3150c9182dfee8631925,9101,98761234,INTERMEDIARIA,1,20240228,8000,12000,ATIVA,REAL,20231119
b272cbeb185e4c01efba1196f0e775181ce290b0,1234,87654321,BASIC,0,20211111,1500,3000,INATIVA,REAL,20231119
3974466ee457a2f1c05914359b8ddb4dd330fc96,7890,65432109,PREMIUM,1,20230505,7000,11000,CONGELADA,REAL,20231119
27afee5167ad9582532da0c15f185313552260ae,1357,12349876,BASIC,1,20231030,3500,7000,REGULAR,REAL,20231119
cedabf11bcfcfd5899fd04e05d3aefffcc867148,2109,98765432,INTERMEDIARIA,1,20220808,6000,10000,ATIVA,REAL,20231119
778ab09b8734b0601bcfa3fac176b5d9da689e3d,2468,45678901,BASIC,1,20231125,2500,6000,INATIVA,REAL,20231119
47a49716416c8780a0a0042a663977a5521af800,9101,67890123,PREMIUM,1,20220404,8500,13000,ATIVA,REAL,20231119
8595561ddba1326223f9c1a2fce26f43859cfb9c,5432,34567890,INTERMEDIARIA,1,20211130,3000,8000,REGULAR,REAL,20231119
4f90673d6d26fdad8a7047d64c5c17ae36c49e19,1234,23456789,BASIC,0,20230808,2000,4000,INATIVA,REAL,20231119
793088bf7feee345578b79b00b9aa85dade01672,7890,78901234,PREMIUM,1,20230303,7000,12000,CONGELADA,REAL,20231119
80f61ca6ec056691ec0116ab78a048a6df7f2fb9,1357,56789012,BASIC,1,20230707,3500,7000,REGULAR,DOLAR,20231119
31081315102b6d56474c65540ae4480ce32c3375,2109,34567890,INTERMEDIARIA,1,20240101,6000,10000,ATIVA,REAL,20231119
143ff0cc624c36982c1c37493579ba798c2fd115,2468,45678901,BASIC,1,20220202,2500,6000,INATIVA,PESO,20231119
e62d72b260436d7122970ef70ca59b5a4344f55d,9101,23456789,PREMIUM,1,20230606,8500,13000,ATIVA,DOLAR,20231119
bb236302bb186219bd13a4a7b1cc5be181b744c0,1234,67890123,INTERMEDIARIA,1,20231010,3000,8000,REGULAR,REAL,20231119
dceb09bc083e9bbbcaecd822bae04c07b460b00d,5432,34567890,BASIC,1,20211212,2000,4000,INATIVA,PESO,20231119
7a5f6833ce3e27b243ff33cf62b6d76d5a8af80b,7890,23456789,PREMIUM,0,20230303,7000,12000,ATIVA,REAL,20231119
